,,,Dessert (aliment moyen),2.18
entrées et plats composés,sandwichs,-,Sandwich baguette | camembert | beurre,0
entrées et plats composés,sandwichs,-,Sandwich baguette | pâté | cornichons,0
entrées et plats composés,sandwichs,-,Sandwich baguette | saucisson | beurre,0.8
entrées et plats composés,sandwichs,-,Sandwich baguette | jambon | emmental | beurre,1.17
entrées et plats composés,sandwichs,-,Sandwich (aliment moyen),0
entrées et plats composés,sandwichs,-,Toasts ou Canapés salés | garnitures diverses | préemballés,2
entrées et plats composés,sandwichs,-,Sandwich baguette | crudités diverses | mayonnaise,0
entrées et plats composés,sandwichs,-,Sandwich baguette | dinde | crudités (tomate | salade) | mayonnaise,0
entrées et plats composés,sandwichs,-,Sandwich baguette | oeuf | crudités (tomate | salade) | mayonnaise,0
entrées et plats composés,sandwichs,-,Sandwich baguette | porc | crudités (tomate | salade) | mayonnaise,0
entrées et plats composés,sandwichs,-,Sandwich baguette | merguez | ketchup moutarde,0
entrées et plats composés,sandwichs,-,Sandwich baguette | salami | beurre,0
entrées et plats composés,sandwichs,-,Croque-madame,0
entrées et plats composés,sandwichs,-,Sandwich baguette (aliment moyen),0
entrées et plats composés,sandwichs,-,Sandwich pain de mie | garnitures diverses | préemballé,1.06
entrées et plats composés,sandwichs,-,Croque-monsieur | préemballé,0.48
entrées et plats composés,sandwichs,-,Sandwich pain de mie complet | jambon | crudités | fromage optionnel | préemballé,0
entrées et plats composés,sandwichs,-,Sandwich pain de mie complet | thon | crudités | mayonnaise | préemballé,0
entrées et plats composés,sandwichs,-,Sandwich pain de mie complet | jambon | fromage | préemballé,0
entrées et plats composés,sandwichs,-,Sandwich pain de mie complet | poulet | crudités | mayonnaise | préemballé,0
entrées et plats composés,feuilletées et autres entrées,-,Cake salé (garniture : fromage | légumes | viande | poisson | volaille | etc.) | préemballé,0.38
entrées et plats composés,feuilletées et autres entrées,-,Samossa ou Samoussa | préemballé | cuit,1.09
entrées et plats composés,feuilletées et autres entrées,-,Feuilleté au poisson et / ou fruits de mer,0
entrées et plats composés,feuilletées et autres entrées,-,Spécialité chinoise type bouchée à la vapeur | préemballée | cuite,0.88
entrées et plats composés,feuilletées et autres entrées,-,Feuilleté aux escargots | préemballé,0
entrées et plats composés,feuilletées et autres entrées,-,Feuilleté ou Friand au fromage,0.36
entrées et plats composés,feuilletées et autres entrées,-,Feuilleté ou Friand à la viande | préemballé,0.47
entrées et plats composés,feuilletées et autres entrées,-,Bouchée à la reine | à la viande/volaille/quenelle,0.16
entrées et plats composés,feuilletées et autres entrées,-,Croissant au jambon,0.67
entrées et plats composés,feuilletées et autres entrées,-,Rouleau de printemps,0
entrées et plats composés,feuilletées et autres entrées,-,Nem ou Pâté impérial,0.57
entrées et plats composés,feuilletées et autres entrées,-,Brick garni (garniture : crevettes | légumes | volaille | viande | poisson | etc.) | fait maison | cuit,0
entrées et plats composés,feuilletées et autres entrées,-,Bouchée à la reine | au poisson et fruits de mer,0
entrées et plats composés,feuilletées et autres entrées,-,Feuilleté ou Friand jambon fromage,0.19
entrées et plats composés,feuilletées et autres entrées,-,Beignet de viande | volaille ou poisson | fait maison | cru,0
entrées et plats composés,feuilletées et autres entrées,-,Brick à l'oeuf | fait maison | cuit,0
entrées et plats composés,feuilletées et autres entrées,-,Brick au boeuf,0
entrées et plats composés,feuilletées et autres entrées,-,Brick à la pomme de terre | fait maison | cuit,0
entrées et plats composés,feuilletées et autres entrées,-,Feuilleté salé (aliment moyen),0.41
entrées et plats composés,feuilletées et autres entrées,-,Bouchée à la reine | garnie (aliment moyen),0
entrées et plats composés,feuilletées et autres entrées,-,Nem ou Pâté impérial | au poulet | préemballé | cuit,0.5
entrées et plats composés,feuilletées et autres entrées,-,Nem ou Pâté impérial | au porc | préemballé | cuit,0.5
entrées et plats composés,feuilletées et autres entrées,-,Nem ou Pâté impérial | aux crevettes et/ou au crabe | préemballé | cuit,0.6
entrées et plats composés,feuilletées et autres entrées,-,Croissant au jambon fromage | préemballé,0
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Avocat | pulpe | cru,0.16
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Bette ou blette | crue,0.7
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Carotte | crue,1.1
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Champignon | tout type | cru,0.82
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Salade ou chicorée frisée | crue,0
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Chou rouge | cru,2.2
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Chou-fleur | cru,0.9
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Concombre | pulpe et peau | cru,0.54
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Courgette | pulpe et peau | crue,0.76
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Cresson de fontaine | cru,0
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Céleri branche | cru,0.51
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Endive | crue,1.5
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Fenouil | cru,1.2
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Laitue | crue,0.33
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Oignon | cru,1.6
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Pissenlit | cru,0
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Poireau | cru,0.65
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Poivron | vert | jaune ou rouge | cru,0
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Potiron | cru,0
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Radis rouge | cru,0.7
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Tomate | crue,1.08
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Artichaut | cru,0
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Aubergine | crue,1.13
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Cardon | cru,0
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Céleri-rave | cru,0.2
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Champignon de Paris ou champignon de couche | cru,2.01
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Brocoli | cru,0.48
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Chou de Bruxelles | cru,0.52
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Épinard | cru,0.078
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Haricot vert | cru,0.99
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Navet | pelé | cru,0
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Chou-rave | cru,0
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Chou vert | cru,1
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Haricot vert | surgelé | cru,0.47
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Petits pois | crus,0.15
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Asperge | pelée | crue,0.49
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Chou-fleur | surgelé | cru,0
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Épinard | surgelé | cru,0.2
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Petits pois | surgelés | crus,0.064
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Poivron vert | cru,1.5
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Poivron rouge | cru,2.2
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Radis noir | cru,2.6
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Scarole | crue,0
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Betterave rouge | crue,0.35
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Échalote | crue,0.5
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Mâche | crue,0.2
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Légumes | mélange surgelé | crus,0.82
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Champignon | chanterelle ou girolle | crue,1.16
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Champignon | morille | crue,0.044
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Champignon | truffe noire | crue,0
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Maïs doux | en épis | surgelé | cru,0.6
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Oseille | crue,0
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Champignon | pleurote | crue,0.71
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Chou blanc | cru,2.4
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Tomate verte | crue,0
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Batavia | crue,0.5
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Haricot de Lima | cru,0
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Courge musquée | pulpe | crue,0
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Potimarron | pulpe | cru,1.1
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Courge hokkaïdo | pulpe | crue,0
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Courge melonnette | pulpe | crue,0
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Courge doubeurre (butternut) | pulpe | crue,0.99
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Courge | crue,0.7
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Courge spaghetti | pulpe | crue,0
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Piment | cru,0
fruits | légumes | légumineuses et oléagineux,légumes,légumes crus,Champignon | oronge vraie | crue,0
